id,task,framework,constraint,version,fold,type,metric,utc,training_duration,predict_duration,result
id/0,SNIPS,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:38:06,3263.1,39.3,0.99
id/0,ag_news,ablation_lr_decay,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:35:57,24240.5,49.8,0.944078947368421
id/0,financial_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:32,628.4,40.6,0.579979360165119
id/0,MLDoc-11000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:34,2014.7,58.6,0.3775
id/0,gnad10,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:34,2397.5,44.6,0.190661478599222
id/0,MultiATIS-5000,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:33,1024.2,39.4,0.723905723905724
id/0,fb_dialog,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:31,3571.1,49.9,0.459033209385819
id/0,SNIPS,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:32,3089.6,39.2,0.528571428571429
id/0,ag_news,ablation_base,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T12:53:28,24855.8,50.0,0.618026315789474
id/0,financial_news,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:04:24,735.9,40.8,0.579979360165119
id/0,MLDoc-11000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:04:54,2159.0,58.5,0.3775
id/0,gnad10,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:08:53,2544.1,44.9,0.190661478599222
id/0,MultiATIS-5000,ablation_greedy_soup,g4_12x,1.0.1b20240229,0,multiclass,acc,2024-02-29T13:04:22,1133.3,39.3,0.723905723905724
